    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
1108, 2024-11-04 21:55:00+00:00, 66937.0, 67164.0, 66928.0, 67116.4,    8.1,  67834.5,   67370.8,  66907.0, 0.2
1109, 2024-11-04 22:00:00+00:00, 67116.3, 67429.7, 67058.4, 67416.0,   19.3,  67795.9,   67356.6,  66917.2, 0.6
1110, 2024-11-04 22:05:00+00:00, 67415.9, 67635.9, 67352.2, 67635.9,   20.9,  67789.9,   67355.0,  66920.0, 0.8
1111, 2024-11-04 22:10:00+00:00, 67635.9, 67674.1, 67538.9, 67674.1,    6.6,  67803.0,   67358.6,  66914.3, 0.9
1112, 2024-11-04 22:15:00+00:00, 67674.3, 67753.5, 67608.2, 67752.6,   16.0,  67841.0,   67369.8,  66898.5, 0.9
1113, 2024-11-04 22:20:00+00:00, 67752.6, 67807.0, 67663.2, 67668.7,   14.2,  67856.9,   67375.0,  66893.0, 0.8
1114, 2024-11-04 22:25:00+00:00, 67668.6, 67827.5, 67648.9, 67699.9,    9.3,  67888.0,   67386.7,  66885.5, 0.8
1115, 2024-11-04 22:30:00+00:00, 67700.0, 67749.0, 67637.5, 67694.1,    5.7,  67917.1,   67398.8,  66880.5, 0.8
1116, 2024-11-04 22:35:00+00:00, 67694.9, 67835.4, 67675.3, 67805.0,    8.1,  67968.6,   67421.8,  66875.0, 0.9
1117, 2024-11-04 22:40:00+00:00, 67806.3, 67813.1, 67759.1, 67763.6,    3.0,  68004.6,   67437.8,  66871.1, 0.8
1118, 2024-11-04 22:45:00+00:00, 67763.5, 67882.5, 67763.5, 67875.4,    2.7,  68056.1,   67458.0,  66860.0, 0.8
1119, 2024-11-04 22:50:00+00:00, 67875.5, 67946.6, 67875.5, 67946.6,    4.3,  68114.9,   67480.1,  66845.3, 0.9
1120, 2024-11-04 22:55:00+00:00, 67946.7, 68108.4, 67920.9, 67920.9,   10.0,  68157.7,   67496.0,  66834.3, 0.8
1121, 2024-11-04 23:00:00+00:00, 67921.0, 68025.9, 67858.0, 67859.1,    5.0,  68193.1,   67529.9,  66866.8, 0.7
1122, 2024-11-04 23:05:00+00:00, 67872.9, 67931.8, 67797.6, 67908.8,    8.8,  68233.9,   67551.0,  66868.1, 0.8
1123, 2024-11-04 23:10:00+00:00, 67905.3, 67937.4, 67825.4, 67827.0,    5.7,  68257.6,   67580.5,  66903.4, 0.7
1124, 2024-11-04 23:15:00+00:00, 67833.5, 67867.1, 67696.8, 67827.4,    6.0,  68262.3,   67617.7,  66973.2, 0.7
1125, 2024-11-04 23:20:00+00:00, 67819.6, 67915.4, 67819.6, 67913.4,    1.9,  68254.6,   67663.1,  67071.6, 0.7
1126, 2024-11-04 23:25:00+00:00, 67913.5, 67913.5, 67752.6, 67752.6,    3.0,  68212.9,   67699.7,  67186.5, 0.6
1127, 2024-11-04 23:30:00+00:00, 67752.6, 67889.0, 67752.5, 67873.7,    5.9,  68126.5,   67746.6,  67366.7, 0.7
1128, 2024-11-04 23:35:00+00:00, 67873.6, 67937.5, 67873.6, 67923.5,    6.5,  68041.2,   67786.9,  67532.6, 0.8
1129, 2024-11-04 23:40:00+00:00, 67924.5, 67957.5, 67740.5, 67740.5,    7.1,  67994.2,   67803.1,  67612.0, 0.3
1130, 2024-11-04 23:45:00+00:00, 67740.4, 67760.1, 67644.1, 67760.1,    5.6,  67985.8,   67809.4,  67632.9, 0.4
1131, 2024-11-04 23:50:00+00:00, 67760.3, 67871.0, 67753.2, 67795.5,    5.6,  67980.9,   67815.4,  67650.0, 0.4
1132, 2024-11-04 23:55:00+00:00, 67792.6, 67863.7, 67792.5, 67857.2,    2.3,  67984.4,   67820.6,  67656.9, 0.6
1133, 2024-11-05 00:00:00+00:00, 67857.1, 67896.2, 67793.1, 67854.5,    5.8,  67978.6,   67829.9,  67681.3, 0.6
1134, 2024-11-05 00:05:00+00:00, 67854.5, 68019.1, 67845.8, 67866.2,    5.3,  67975.0,   67838.3,  67701.5, 0.6
1135, 2024-11-05 00:10:00+00:00, 67866.3, 68053.0, 67866.3, 67937.4,   18.5,  67976.6,   67850.4,  67724.3, 0.8
1136, 2024-11-05 00:15:00+00:00, 67932.8, 68006.0, 67875.4, 67975.0,    2.3,  67994.2,   67858.9,  67723.6, 0.9
1137, 2024-11-05 00:20:00+00:00, 67981.4, 68076.5, 67930.0, 68047.9,    3.7,  68024.2,   67873.1,  67722.0, 1.1
1138, 2024-11-05 00:25:00+00:00, 68057.6, 68100.0, 67989.6, 67997.1,    6.9,  68039.7,   67879.2,  67718.7, 0.9
1139, 2024-11-05 00:30:00+00:00, 67999.5, 68117.2, 67989.6, 68111.0,    7.3,  68075.4,   67887.4,  67699.5, 1.1
1140, 2024-11-05 00:35:00+00:00, 68106.6, 68106.6, 67986.9, 68037.5,    2.8,  68091.9,   67893.3,  67694.6, 0.9
1141, 2024-11-05 00:40:00+00:00, 68039.8, 68065.4, 67958.2, 68019.5,    2.8,  68106.6,   67901.3,  67696.0, 0.8
1142, 2024-11-05 00:45:00+00:00, 68019.4, 68114.2, 67978.0, 68102.9,    1.2,  68134.4,   67911.0,  67687.6, 0.9
1143, 2024-11-05 00:50:00+00:00, 68104.1, 68184.7, 68018.2, 68042.8,   10.4,  68148.7,   67921.8,  67694.8, 0.8
1144, 2024-11-05 00:55:00+00:00, 68041.0, 68051.3, 67978.2, 68030.9,    2.3,  68159.3,   67932.0,  67704.6, 0.7
1145, 2024-11-05 01:00:00+00:00, 68031.0, 68090.1, 67951.5, 68070.5,    3.8,  68174.8,   67939.8,  67704.9, 0.8
1146, 2024-11-05 01:05:00+00:00, 68070.5, 68074.0, 67968.9, 67981.9,    3.7,  68170.4,   67951.3,  67732.1, 0.6
1147, 2024-11-05 01:10:00+00:00, 67989.1, 68017.4, 67977.2, 67977.2,    2.3,  68172.9,   67956.5,  67740.0, 0.5
1148, 2024-11-05 01:15:00+00:00, 67977.2, 68030.0, 67777.2, 67909.1,   14.2,  68172.7,   67955.7,  67738.8, 0.4
1149, 2024-11-05 01:20:00+00:00, 67905.7, 67905.7, 67740.0, 67762.5,    3.7,  68169.6,   67956.8,  67744.0, 0.0
1150, 2024-11-05 01:25:00+00:00, 67750.1, 67755.8, 67602.0, 67644.2,   10.5,  68189.7,   67951.0,  67712.4, -0.1
1151, 2024-11-05 01:30:00+00:00, 67638.2, 67657.2, 67483.0, 67483.0,    6.1,  68243.6,   67935.4,  67627.3, -0.2
1152, 2024-11-05 01:35:00+00:00, 67483.0, 67658.0, 67478.6, 67617.0,    4.5,  68260.2,   67923.4,  67586.6, 0.0
1153, 2024-11-05 01:40:00+00:00, 67621.2, 67856.9, 67579.7, 67851.1,    7.6,  68260.2,   67923.2,  67586.3, 0.4
1154, 2024-11-05 01:45:00+00:00, 67857.0, 68060.2, 67857.0, 67954.3,   13.7,  68263.8,   67927.6,  67591.5, 0.5
1155, 2024-11-05 01:50:00+00:00, 67954.5, 68030.0, 67937.5, 67937.5,    2.2,  68263.8,   67927.6,  67591.5, 0.5
1156, 2024-11-05 01:55:00+00:00, 67937.5, 68040.9, 67935.4, 67993.0,    2.9,  68265.3,   67928.5,  67591.8, 0.6
1157, 2024-11-05 02:00:00+00:00, 67993.0, 68027.4, 67923.3, 67974.3,    3.4,  68257.9,   67924.9,  67591.8, 0.6
1158, 2024-11-05 02:05:00+00:00, 67978.8, 68074.1, 67969.0, 67976.7,    3.6,  68256.1,   67923.8,  67591.6, 0.6
1159, 2024-11-05 02:10:00+00:00, 67977.2, 68030.0, 67977.2, 68011.8,    2.6,  68242.7,   67918.9,  67595.1, 0.6
1160, 2024-11-05 02:15:00+00:00, 68014.9, 68040.9, 67918.6, 67937.3,    4.6,  68233.2,   67913.9,  67594.5, 0.5
1161, 2024-11-05 02:20:00+00:00, 67937.4, 67956.5, 67866.0, 67924.6,    1.9,  68224.9,   67909.1,  67593.4, 0.5
1162, 2024-11-05 02:25:00+00:00, 67932.3, 68010.5, 67931.8, 68005.4,    0.9,  68210.8,   67904.3,  67597.8, 0.7
